Data_Type,p,mc,synmc,TargetType,Target,Metric,Synth_Family,rel_orig,rel_synth,reinforcement_ratio
hierarchical,6,5,3,Categorical,C3,F1,bn,0.9061998511181059,0.8031075939025533,0.8862367312372065
hierarchical,18,5,3,Categorical,C3,Specificity,bn,0.9997587454764777,0.9987667985716108,0.9990078137257062
hierarchical,18,5,4,Categorical,C3,Specificity,bn,0.9997587454764777,0.9997345502108607,0.999975798895757
parametric,6,4,1,Categorical,C1,Specificity,bn,0.8732428972541788,0.6859641884701093,0.7855365221143534
parametric,6,4,2,Categorical,C1,Specificity,bn,0.8732428972541788,0.6987285733019762,0.8001537435907642
parametric,6,4,3,Categorical,C1,Specificity,bn,0.8732428972541788,0.6747363312177244,0.7726788655703497
parametric,6,4,5,Categorical,C1,Specificity,bn,0.8732428972541788,0.6723023284212704,0.7698915508333991
parametric,6,5,1,Categorical,C2,Specificity,bn,0.6419921023875258,0.6317815786216118,0.9840955617242926
parametric,6,5,2,Categorical,C2,Specificity,bn,0.6419921023875258,0.633243017567303,0.9863719743783677
parametric,6,5,2,Categorical,C3,Specificity,bn,0.9598379466244725,0.9511367669060957,0.9909347408601871
parametric,6,5,3,Categorical,C2,F1,bn,1,0.9978026568725025,0.9978026568725025
parametric,6,5,3,Categorical,C3,Specificity,bn,0.9598379466244725,0.917200978926503,0.9555789934666431
parametric,6,5,4,Categorical,C2,F1,bn,1,0.9931531138299506,0.9931531138299506
parametric,6,5,5,Categorical,C2,F1,bn,1,0.9998375794266287,0.9998375794266287
parametric,6,5,5,Categorical,C3,F1,bn,0.9622418825319597,0.9408420058045239,0.9777603977586945
parametric,12,4,3,Categorical,C6,Specificity,bn,1,0.9860498855624602,0.9860498855624602
parametric,12,4,5,Categorical,C6,Specificity,bn,1,0.979701088587402,0.979701088587402
hierarchical,18,1,4,Categorical,C9,Accuracy,cart,1,0.999700666709194,0.999700666709194
hierarchical,18,1,5,Categorical,C9,Accuracy,cart,1,0.9988099713760344,0.9988099713760344
parametric,6,1,3,Categorical,C3,Specificity,cart,0.9936029541418062,0.9932803871637177,0.9996753562610257
parametric,6,5,1,Categorical,C2,Specificity,cart,0.9842163661674775,0.9767952365146122,0.992459859530925
parametric,6,5,2,Categorical,C2,Specificity,cart,0.9842163661674775,0.9644306348317297,0.9798969697965976
parametric,6,5,3,Categorical,C2,Specificity,cart,0.9842163661674775,0.9751674640762565,0.9908059829095738
parametric,6,5,3,Categorical,C3,Specificity,cart,0.9848959817611855,0.9273614628931383,0.9415831519942194
parametric,6,5,5,Categorical,C2,Specificity,cart,0.9842163661674775,0.9825493396494629,0.9983062397910472
parametric,6,5,5,Categorical,C3,F1,cart,0.9856719647401864,0.9817643999315311,0.9960356336099249
parametric,12,4,4,Categorical,C6,Specificity,cart,0.94269395738341355,0.9199133263588357,0.9758345422221557
parametric,6,1,3,Categorical,C1,Accuracy,parm,1,0.9982576522969775,0.9982576522969775
parametric,6,1,3,Categorical,C1,F1,parm,1,0.9597760890879824,0.9597760890879824
parametric,6,2,5,Categorical,C2,Specificity,parm,1,0.9982673985437982,0.9982673985437982
parametric,6,4,1,Categorical,C1,Specificity,parm,1,0.9654506529807635,0.9654506529807635
parametric,6,4,2,Categorical,C1,F1,parm,1,0.8403385633773055,0.8403385633773055
parametric,6,4,3,Categorical,C1,F1,parm,1,0.8530101397654318,0.8530101397654318
parametric,6,4,3,Categorical,C1,Specificity,parm,1,0.9929210995778134,0.9929210995778134
parametric,6,4,4,Categorical,C1,Specificity,parm,1,0.9401181689704922,0.9401181689704922
parametric,6,4,5,Categorical,C1,Accuracy,parm,1,0.9987833414384182,0.9987833414384182
parametric,6,4,5,Categorical,C1,Specificity,parm,1,0.9403099531672758,0.9403099531672758
parametric,6,5,1,Categorical,C2,F1,parm,0.8470014209411174,0.8165688109804802,0.9640701783866867
parametric,6,5,1,Categorical,C3,Specificity,parm,1,0.9980292535110489,0.9980292535110489
parametric,6,5,2,Categorical,C1,Specificity,parm,1,0.9998937180922152,0.9998937180922152
parametric,6,5,2,Categorical,C2,F1,parm,0.8470014209411174,0.8430417855732182,0.9953251136656894
parametric,6,5,2,Categorical,C3,Specificity,parm,1,0.9587700532871385,0.9587700532871385
parametric,6,5,3,Categorical,C2,F1,parm,0.8470014209411174,0.8293452689932049,0.979154519093611
parametric,6,5,3,Categorical,C3,Specificity,parm,1,0.98519026076745,0.98519026076745
parametric,6,5,4,Categorical,C2,Accuracy,parm,1,0.995404163287375,0.995404163287375
parametric,6,5,4,Categorical,C2,F1,parm,0.8470014209411174,0.8428402080923205,0.9950871241229167
parametric,12,4,2,Categorical,C6,Specificity,parm,0.9730580492803146,0.9651748106505826,0.9918984909116547
